標的證券代號,標的證券名稱,名目本金,成交筆數,日期
15142,亞力二,1100000,8,20260401
41236,晟德六,1800000,5,20260401
64145,樺漢五,9000000,18,20260401
62843,佳邦三,500000,4,20260401
62822,康舒二,24200000,12,20260401
62745,台燿五,47100000,43,20260401
61993,天品三,10100000,2,20260401
61973,佳必琪三,500000,2,20260401
61907,萬泰科七,8400000,19,20260401
56087,四維航七,300000,2,20260401
56086,四維航六,700000,1,20260401
55344,長虹四,1000000,4,20260401
54501,南良一,100000,1,20260401
54391,高技一,1000000,4,20260401
53887,中磊七,2000000,5,20260401
53064,桂盟四,500000,1,20260401
49793,華星光三,100000,1,20260401
49674,十銓四,3900000,12,20260401
49066,正文六,1100000,4,20260401
47721,台特化一,4900000,10,20260401
47394,康普四,1500000,10,20260401
47393,康普三,3500000,9,20260401
47223,國精化三,4500000,6,20260401
45721,駐龍一,700000,1,20260401
45581,寶緯一,3200000,10,20260401
45554,氣立四,500000,2,20260401
44383,廣越三,2200000,2,20260401
41684,醣聯四,100000,1,20260401
41645,承業醫五,1700000,2,20260401
64422,光聖二,3200000,6,20260401
64423,光聖三,500000,2,20260401
65101,精測一,9300000,32,20260401
80914,翔名四,11400000,13,20260401
99392,宏全二,100000,1,20260401
99332,中鼎二,3000000,1,20260401
98026,鈺齊六KY,400000,2,20260401
84113,福貞三KY,3800000,3,20260401
84041,百和興業一KY,2300000,6,20260401
82993,群聯三,68000000,106,20260401
82551,朋程一,500000,3,20260401
82103,勤誠三,12300000,14,20260401
82102,勤誠二,1700000,7,20260401
81551,博智一,100000,1,20260401
81473,正淩三,200000,1,20260401
811210,至上十,500000,1,20260401
80426,金山電六,100000,1,20260401
65152,穎崴二,153900000,22,20260401
80282,昇陽半導體二,1500000,1,20260401
80212,尖點二,7600000,14,20260401
77131,威力德生醫一,1000000,1,20260401
69131,鴻呈一,4700000,3,20260401
68941,衛司特一,900000,2,20260401
68301,汎銓一,300000,1,20260401
67531,龍德造船一,300000,2,20260401
66702,復盛應用二,2700000,12,20260401
66642,群翊二,2300000,8,20260401
65761,逸達一,167500000,49,20260401
65521,易華電一,200000,2,20260401
65472,高端疫苗二,1800000,5,20260401
41295,聯合五,1200000,2,20260401
65096,聚和六,4300000,13,20260401
37171,聯嘉投控一,6300000,19,20260401
30882,艾訊二,600000,1,20260401
30165,嘉晶五,900000,1,20260401
30134,晟銘電四,500000,4,20260401
27531,八方雲集一,1400000,3,20260401
27271,王品一,1300000,6,20260401
26418,正德八,500000,1,20260401
25484,華固四,1000000,1,20260401
25483,華固三,1500000,2,20260401
25283,皇普三,1200000,2,20260401
24762,鉅祥二,200000,1,20260401
24673,志聖三,7000000,23,20260401
24672,志聖二,9200000,28,20260401
24553,全新三,2600000,3,20260401
24552,全新二,7400000,9,20260401
24395,美律五,100000,1,20260401
24394,美律四,1500000,7,20260401
24361,偉詮電一,1000000,3,20260401
24023,毅嘉三,6100000,28,20260401
23742,佳能二,2100000,2,20260401
23683,金像電三,3800000,8,20260401
23511,順德一,3500000,7,20260401
23291,華泰一,30700000,16,20260401
22472,汎德永業二,600000,2,20260401
22471,汎德永業一,600000,4,20260401
22331,宇隆一,1800000,2,20260401
22283,劍麟三,100000,1,20260401
16095,大亞五,500000,1,20260401
37152,定穎投控二,39300000,11,20260401
30371,欣興一,100000,1,20260401
15601,中砂一,1100000,6,20260401
35871,閎康一,900000,3,20260401
35266,凡甲六,100000,1,20260401
37083,上緯投控三,100000,1,20260401
37023,大聯大三,5500000,12,20260401
37022,大聯大二,6400000,11,20260401
370201,大聯大E1,1600000,7,20260401
36913,碩禾三,3900000,13,20260401
36804,家登四,700000,5,20260401
35872,閎康二,2100000,13,20260401
31311,弘塑一,10000000,13,20260401
35832,辛耘二,16200000,22,20260401
